x,y,value
185,1079,1
186,1506,1
186,3138,1
186,4848,1
186,1398,1
186,2390,1
186,4007,1
187,1507,1
187,3139,1
187,4849,1
187,1399,1
187,3836,1
187,2687,1
188,1508,1
188,3140,1
188,4850,1
188,2844,1
188,1070,1
188,3791,1
189,1509,1
189,3141,1
189,4851,1
189,2845,1
189,4078,1
189,1271,1
190,1510,1
190,3142,1
190,4852,1
190,4308,1
190,1316,1
190,2375,1
191,1511,1
191,3143,1
191,4853,1
191,4309,1
191,2758,1
191,1055,1
192,1512,1
192,3840,1
192,1224,1
192,2358,1
192,3278,1
192,4883,1
193,1513,1
193,3841,1
193,1225,1
193,2359,1
193,4724,1
193,3563,1
194,1514,1
194,3842,1
194,1226,1
194,3078,1
194,2558,1
194,4763,1
195,1515,1
195,3843,1
195,1227,1
195,3079,1
195,4844,1
195,2843,1
196,1516,1
196,3844,1
196,1228,1
196,4542,1
196,2804,1
196,3347,1
197,1517,1
197,3845,1
197,1229,1
197,4543,1
197,3524,1
197,2627,1
198,1518,1
198,3846,1
198,2688,1
198,1038,1
198,3062,1
198,4841,1
199,1519,1
199,3847,1
199,2689,1
199,1039,1
199,4508,1
199,3521,1
200,1520,1
200,3848,1
200,2690,1
200,3324,1
200,1142,1
200,4529,1
201,1521,1
201,3849,1
201,2691,1
201,3325,1
201,4894,1
201,1409,1
202,1522,1
202,3850,1
202,2692,1
202,4788,1
202,1388,1
202,3113,1
203,1523,1
203,3851,1
203,2693,1
203,4789,1
203,3574,1
203,1193,1
204,1524,1
204,3852,1
204,3408,1
204,1158,1
204,2342,1
204,4721,1
205,1525,1
205,3853,1
205,3409,1
205,1159,1
205,4532,1
205,2801,1
206,1526,1
206,3854,1
206,3410,1
206,2604,1
206,1022,1
206,4505,1
207,1527,1
207,3855,1
207,3411,1
207,2605,1
207,4774,1
207,1385,1
208,1528,1
208,3856,1
208,3412,1
208,4908,1
208,1412,1
208,2393,1
209,1529,1
209,3857,1
209,3413,1
209,4909,1
209,2854,1
209,1073,1
210,1530,1
210,3858,1
210,4968,1
210,1422,1
210,2396,1
210,3287,1
211,1531,1
211,3859,1
211,4969,1
211,1423,1
211,3116,1
211,2567,1
212,1532,1
212,3860,1
212,4970,1
212,2868,1
212,1076,1
212,3071,1
213,1533,1
213,3861,1
213,4971,1
213,2869,1
213,3358,1
213,1151,1
214,1534,1
214,3862,1
214,4972,1
214,3588,1
214,1196,1
214,2351,1
215,1535,1
215,3863,1
215,4973,1
215,3589,1
215,2638,1
215,1031,1
216,1536,1
216,4560,1
216,1344,1
216,2382,1
216,3284,1
216,4163,1
217,1537,1
217,4561,1
217,1345,1
217,2383,1
217,4004,1
217,3443,1
218,1538,1
218,4562,1
218,1346,1
218,3102,1
218,2564,1
218,4043,1
219,1539,1
219,4563,1
219,1347,1
219,3103,1
219,4124,1
219,2723,1
220,1540,1
220,4564,1
220,1348,1
220,3822,1
220,2684,1
220,3323,1
221,1541,1
221,4565,1
221,1349,1
221,3823,1
221,3404,1
221,2603,1
222,1542,1
222,4566,1
222,2808,1
222,1062,1
222,3068,1
222,4121,1
223,1543,1
223,4567,1
223,2809,1
223,1063,1
223,3788,1
223,3401,1
224,1544,1
224,4568,1
224,2810,1
224,3348,1
224,1148,1
224,3809,1
225,1545,1
225,4569,1
225,2811,1
225,3349,1
225,4174,1
225,1289,1
226,1546,1
226,4570,1
226,2812,1
226,4068,1
226,1268,1
226,3089,1
227,1547,1
227,4571,1
227,2813,1
227,4069,1
227,3454,1
227,1169,1
228,1548,1
228,4572,1
228,3528,1
228,1182,1
228,2348,1
228,4001,1
229,1549,1
229,4573,1
229,3529,1
229,1183,1
229,3812,1
229,2681,1
230,1550,1
230,4574,1
230,3530,1
230,2628,1
230,1028,1
230,3785,1
231,1551,1
231,4575,1
231,3531,1
231,2629,1
231,4054,1
231,1265,1
232,1552,1
232,4576,1
232,3532,1
232,4188,1
232,1292,1
232,2369,1
233,1553,1
233,4577,1
233,3533,1
233,4189,1
233,2734,1
233,1049,1
234,1554,1
234,4578,1
234,4248,1
234,1302,1
234,2372,1
234,3281,1
235,1555,1
235,4579,1
235,4249,1
235,1303,1
235,3092,1
235,2561,1
236,1556,1
236,4580,1
236,4250,1
236,2748,1
236,1052,1
236,3065,1
237,1557,1
237,4581,1
237,4251,1
237,2749,1
237,3334,1
237,1145,1
238,1558,1
238,4582,1
238,4252,1
238,3468,1
238,1172,1
238,2345,1
239,1559,1
239,4583,1
239,4253,1
239,3469,1
239,2614,1
239,1025,1
240,2160,1
240,960,1
240,1584,1
240,3150,1
240,4136,1
240,5031,1
241,2161,1
241,961,1
241,1585,1
241,3151,1
241,4856,1
241,4311,1
242,2162,1
242,962,1
242,1586,1
242,3870,1
242,3416,1
242,4911,1
243,2163,1
243,963,1
243,1587,1
243,3871,1
243,4976,1
243,3591,1
244,2164,1
244,964,1
244,1588,1
244,4590,1
244,3536,1
244,4191,1
245,2165,1
245,965,1
245,1589,1
245,4591,1
245,4256,1
245,3471,1
246,2166,1
246,966,1
246,3048,1
246,1830,1
246,3920,1
246,4989,1
247,2167,1
247,967,1
247,3049,1
247,1831,1
247,4640,1
247,4269,1
248,2168,1
248,968,1
248,3050,1
248,4116,1
248,2000,1
248,4677,1
249,2169,1
249,969,1
249,3051,1
249,4117,1
249,5026,1
249,2157,1
250,2170,1
250,970,1
250,3052,1
250,4836,1
250,2120,1
250,3957,1
251,2171,1
251,971,1
251,3053,1
251,4837,1
251,4306,1
251,2037,1
252,2172,1
252,972,1
252,3768,1
252,1950,1
252,3200,1
252,4869,1
253,2173,1
253,973,1
253,3769,1
253,1951,1
253,4664,1
253,3549,1
254,2174,1
254,974,1
254,3770,1
254,3396,1
254,1880,1
254,4653,1
255,2175,1
255,975,1
255,3771,1
255,3397,1
255,4906,1
255,2133,1
256,2176,1
256,976,1
256,3772,1
256,4956,1
256,2144,1
256,3237,1
257,2177,1
257,977,1
257,3773,1
257,4957,1
257,3586,1
257,1917,1
258,2178,1
258,978,1
258,4488,1
258,2070,1
258,3224,1
258,4149,1
259,2179,1
259,979,1
259,4489,1
259,2071,1
259,3944,1
259,3429,1
260,2180,1
260,980,1
260,4490,1
260,3516,1
260,1904,1
260,3933,1
261,2181,1
261,981,1
261,4491,1
261,3517,1
261,4186,1
261,2013,1
262,2182,1
262,982,1
262,4492,1
262,4236,1
262,2024,1
262,3213,1
263,2183,1
263,983,1
263,4493,1
263,4237,1
263,3466,1
263,1893,1
264,2184,1
264,1680,1
264,864,1
264,3030,1
264,4112,1
264,5025,1
265,2185,1
265,1681,1
265,865,1
265,3031,1
265,4832,1
265,4305,1
266,2186,1
266,1682,1
266,866,1
266,3750,1
266,3392,1
266,4905,1
267,2187,1
267,1683,1
267,867,1
267,3751,1
267,4952,1
267,3585,1
268,2188,1
268,1684,1
268,868,1
268,4470,1
268,3512,1
268,4185,1
269,2189,1
269,1685,1
269,869,1
269,4471,1
269,4232,1
269,3465,1
270,2190,1
270,1686,1
270,3168,1
270,1110,1
270,3800,1
270,4965,1
271,2191,1
271,1687,1
271,3169,1
271,1111,1
271,4520,1
271,4245,1
272,2192,1
272,1688,1
272,3170,1
272,4140,1
272,1280,1
272,4557,1
273,2193,1
273,1689,1
273,3171,1
273,4141,1
273,5032,1
273,1437,1
274,2194,1
274,1690,1
274,3172,1
274,4860,1
274,1400,1
274,3837,1
275,2195,1
275,1691,1
275,3173,1
275,4861,1
275,4312,1
275,1317,1
276,2196,1
276,1692,1
276,3888,1
276,1230,1
276,3080,1
276,4845,1
277,2197,1
277,1693,1
277,3889,1
277,1231,1
277,4544,1
277,3525,1
278,2198,1
278,1694,1
278,3890,1
278,3420,1
278,1160,1
278,4533,1
279,2199,1
279,1695,1
279,3891,1
279,3421,1
279,4912,1
279,1413,1
280,2200,1
280,1696,1
280,3892,1
280,4980,1
280,1424,1
280,3117,1
281,2201,1
281,1697,1
281,3893,1
281,4981,1
281,3592,1
281,1197,1
282,2202,1
282,1698,1
282,4608,1
282,1350,1
282,3104,1
282,4125,1
283,2203,1
283,1699,1
283,4609,1
283,1351,1
283,3824,1
283,3405,1
284,2204,1
284,1700,1
284,4610,1
284,3540,1
284,1184,1
284,3813,1
285,2205,1
285,1701,1
285,4611,1
285,3541,1
285,4192,1
285,1293,1
286,2206,1
286,1702,1
286,4612,1
286,4260,1
286,1304,1
286,3093,1
287,2207,1
287,1703,1
287,4613,1
287,4261,1
287,3472,1
287,1173,1
288,2208,1
288,3240,1
288,1128,1
288,1614,1
288,3878,1
288,4979,1
289,2209,1
289,3241,1
289,1129,1
289,1615,1
289,4598,1
289,4259,1
290,2210,1
290,3242,1
290,1130,1
290,3804,1
290,1958,1
290,4667,1
291,2211,1
291,3243,1
291,1131,1
291,3805,1
291,4966,1
291,2147,1
292,2212,1
292,3244,1
292,1132,1
292,4524,1
292,2078,1
292,3947,1
293,2213,1
293,3245,1
293,1133,1
293,4525,1
293,4246,1
293,2027,1
294,2214,1
294,3246,1
294,1848,1
294,894,1
294,3758,1
294,4955,1
295,2215,1
295,3247,1
295,1849,1
295,895,1
295,4478,1
295,4235,1
296,2216,1
296,3248,1
296,1850,1
296,3924,1
296,1238,1
296,4547,1
297,2217,1
297,3249,1
297,1851,1
297,3925,1
297,4990,1
297,1427,1
298,2218,1
298,3250,1
298,1852,1
298,4644,1
298,1358,1
298,3827,1
299,2219,1
299,3251,1
299,1853,1
299,4645,1
299,4270,1
299,1307,1
300,2220,1
300,3252,1
300,4152,1
300,1284,1
300,1646,1
300,4607,1
301,2221,1
301,3253,1
301,4153,1
301,1285,1
301,4558,1
301,2087,1
302,2222,1
302,3254,1
302,4154,1
302,2004,1
302,926,1
302,4487,1
303,2223,1
303,3255,1
303,4155,1
303,2005,1
303,4678,1
303,1367,1
304,2224,1
304,3256,1
304,4156,1
304,5034,1
304,1438,1
304,1679,1
305,2225,1
305,3257,1
305,4157,1
305,5035,1
305,2158,1
305,959,1
306,2226,1
306,3258,1
306,4872,1
306,1404,1
306,1670,1
306,3887,1
307,2227,1
307,3259,1
307,4873,1
307,1405,1
307,3838,1
307,1967,1
308,2228,1
308,3260,1
308,4874,1
308,2124,1
308,950,1
308,3767,1
309,2229,1
309,3261,1
309,4875,1
309,2125,1
309,3958,1
309,1247,1
310,2230,1
310,3262,1
310,4876,1
310,4314,1
310,1318,1
310,1655,1
311,2231,1
311,3263,1
311,4877,1
311,4315,1
311,2038,1
311,935,1
312,2232,1
312,3960,1
312,1248,1
312,1638,1
312,3158,1
312,4859,1
313,2233,1
313,3961,1
313,1249,1
313,1639,1
313,4604,1
313,3539,1
314,2234,1
314,3962,1
314,1250,1
314,3084,1
314,1838,1
314,4643,1
315,2235,1
315,3963,1
315,1251,1
315,3085,1
315,4846,1
315,2123,1
316,2236,1
316,3964,1
316,1252,1
316,4548,1
316,2084,1
316,3227,1
317,2237,1
317,3965,1
317,1253,1
317,4549,1
317,3526,1
317,1907,1
318,2238,1
318,3966,1
318,1968,1
318,918,1
318,3038,1
318,4835,1
319,2239,1
319,3967,1
319,1969,1
319,919,1
319,4484,1
319,3515,1
320,2240,1
320,3968,1
320,1970,1
320,3204,1
320,1118,1
320,4523,1
321,2241,1
321,3969,1
321,1971,1
321,3205,1
321,4870,1
321,1403,1
322,2242,1
322,3970,1
322,1972,1
322,4668,1
322,1364,1
322,3107,1
323,2243,1
323,3971,1
323,1973,1
323,4669,1
323,3550,1
323,1187,1
